official_name,operating_club,hut_id,latitude,longitude,elevation_m,email,phone_number,official_website_url,capacity_beds,source_url,reservation_id
Aarbiwak SAC,SAC,2147000001,46.55555404703093,8.15222678796981,2731,k.brefin@livenet.ch,,http://www.sac-pilatus.ch,17,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000001,603
Albert-Heim-Hütte SAC,SAC,2147000006,46.60890792501105,8.463518795919578,2542,info@albertheimhuette.ch,,https://www.albertheimhuette.ch/,60,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000006,710
Arbenbiwak SAC,SAC,2147000016,46.031364,7.665059,3224,rinaldo.amacker@bluewin.ch,+41794090644,https://sac.zermatt.org/verein/arbenbiwak/,15,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000016,381
Bächlitalhütte SAC,SAC,2147000021,46.587037979835685,8.282681550901897,2328,info@baechlitalhuette.ch,,http://www.baechlitalhuette.ch,71,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000021,
Balmhornhütte SAC,SAC,2147000024,46.45128542486783,7.689567354207958,1956,balmhornhuette@sac-altels.ch,,http://www.balmhornhuette.ch,20,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000024,
Bergseehütte SAC,SAC,2147000030,46.6574378278801,8.484887428513561,2370,huettenwart@bergsee.ch,,http://www.bergsee.ch,65,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000030,
Blüemlisalphütte SAC,SAC,2147000036,46.3036,7.4617,2840,info@bluemlisalphuette.com,+41 33 676 14 37,http://www.bluemlisalphuette.com,100,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000036,1
Brisenhaus,SAC,2147000044,46.914916904107415,8.464166076567334,1753,info@brisenhaus.ch,,http://www.brisenhaus.ch,46,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000044,
Camona da Cavardiras CAS,SAC,2147000059,46.742467829354055,8.814231303181124,2649,info@cavardirashuette.ch,,http://www.cavardirashuette.ch,50,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000059,
Capanna Piansecco CAS,SAC,2147000204,46.294,8.281,1982,info@capannapiansecco.ch,+41 91 869 12 14,https://www.capannapiansecco.ch,42,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000204,399
Capanna Sasc Furä CAS,SAC,2147000235,2.765110,1.131580,1904,info@sascfura.ch,+41818221252,http://www.sascfura.ch,36,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000235,38
Chamanna da Grialetsch CAS,SAC,2147000122,46.71010798573334,9.960529990163984,2542,grialetsch@sac-davos.ch,,http://www.grialetsch.ch,58,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000122,
Chamanna dal Linard CAS,SAC,2147000155,46.77943071392273,10.082868998561676,2327,linard@alpinist.ch,,https://www.alpinist.ch/rm/chamonnas/chamonna-linard,38,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000155,
Chamanna da Tschierva CAS,SAC,2147000279,46.40388163544959,9.880065518983711,2583,tschierva@sac-bernina.ch,,https://tschierva.ch/,100,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000279,
Chlushütte,SAC,2147458788,46.81459682114812,7.957419649028456,1773,,,https://www.sac-entlebuch.ch/chlush%C3%BCtte/,18,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147458788,
Claridenhütte SAC,SAC,2147000063,46.85951911737697,8.935791708394552,2453,claridenhuette@bluewin.ch,,http://www.claridenhuette.ch,74,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000063,
Clubhaus Backi,SAC,2141008193,47.262709624800515,7.444411157204625,1165,backi@sac-weissenstein.ch,,https://www.sac-weissenstein.ch/clubhaus-backi.html,30,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2141008193,
Clubhaus Metsch,SAC,2147463667,46.44,07.46,1775,clubhaus@sac-huttwil.ch,+41 79 947 70 69,https://www.sac-huttwil.ch/sektion/clubhaus.php,16,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147463667,330
Clubhütte Bärenfang,SAC,2141008212,47.0661044570562,8.664897934872702,1390,info@baerenfang.ch,,https://www.sac-zug.ch/huetten/baerenfang/,26,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2141008212,
Clubhütte Grubenalp,SAC,2140495223,46.1603467087469,7.947001445496775,2300,info@wanderspuren.ch,,https://sac-saas.ch/grubenalp/,14,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2140495223,568
Cresta-Biwak SAC,SAC,2147425514,46.04476909558431,8.030220023170205,3032,crestabiwak@sac-saas.ch,,https://sac-saas.ch/cresta_biwak/,0,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147425514,445
Domhütte SAC,SAC,2147000081,46.102662297858686,7.817608761999371,2940,info@domhuette.ch,,https://domhuette.ch,75,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000081,
Enderlinhütte SAC,SAC,2147000087,47.03876766644046,9.551605939927788,1501,enderlin@sac-piz-sol.ch,,http://www.sac-piz-sol.ch,30,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000087,
Fridolinshütten SAC,SAC,2147000101,46.821274000572494,8.950063359838234,2111,fridolinshuette-sac@bluewin.ch,,http://www.fridolinshuette.ch,50,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000101,
Fründenhütte SAC,SAC,2147000102,46.483632393033496,7.74180856093144,2562,info@fruendenhuette.ch,,http://www.fruendenhuette.ch,58,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000102,
Glärnischhütte SAC,SAC,2147000116,47.001575603403786,8.96342626797513,1990,info@glhuette.ch,,http://www.glhuette.ch,90,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000116,
Grassenbiwak SAC,SAC,2147000120,46.770144464475244,8.446747926946987,2647,grassen.biwak@gmail.com,,https://www.sac-engelberg.ch/grassen-biwak/,18,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000120,567
Grathaus Moron,SAC,2140505062,47.26307981892374,7.269090980046482,1313,,,https://www.sac-angenstein.ch/huetten/grathaus-moron/,33,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2140505062,
Grubenberghütte,SAC,2147000124,46.54928167614313,7.251924563072391,1840,info@grubenberghuette.ch,,http://www.grubenberghuette.ch,23,https://www.sac-cas.ch/en/huts-and-tours/sac-route-portal/2147000124,
