id,name,warden,phone,beds,elevation_m,latitude,longitude,website_url
1,Blüemlisalphütte SAC,Jürg Martig,+41 33 676 14 37,100,2840,46.3036,7.4617,http://www.bluemlisalphuette.com
2,Glecksteinhütte SAC,Sarah & Christoph Sager,+41338531140,88,2317,46.625111,8.096502,http://www.gleckstein.ch
3,Capanna da l'Albigna CAS,Annamaria Crameri + Martin Ruggli,+41 81 822 14 05,84,2336,46.331205,9.655262,http://www.albigna.ch
4,Kesch-Hütte SAC,Martin Heiz,+41 81 407 11 34,85,2625,46.645157,9.875188,http://www.kesch.ch
5,Lidernenhütte SAC,Eliane Schiess & Christian Affolter,+41418202970,85,1727,46.935185,8.692670,https://www.lidernen.ch
6,Monte Rosa Hütte SAC,Kilian Emmenegger / Richard Lehner,+4127 967 21 15,120,2883,45.956940,7.814543,http://www.monterosahuette.ch
7,Capanna di Sciora CAS,Cinzia Fanconi & Mauro Cortesi,+41 81 822 11 38,29,2119,46.30312,9.61635,http://www.capannasciora.ch
8,Capanna Basòdino (Robiei) CAS,Capannaro Roberto Iori,0917532797,59,1856,46.439556,8.514077,http://www.capannabasodino.ch
9,Britanniahütte SAC,Maria Anthamatten und Konstantin Zurbriggen,+41 27 957 22 88,101,3030,46.060106,7.93507,http://www.britannia.ch
10,Cabane des Dix CAS,Daniel Egg,+41 027 281 15 23,90,2928,46.011066,7.417683,http://www.cabanedesdix.ch
11,Doldenhornhütte SAC,Schweizer Ursula& Dinkelacker Balthasar,+41 33 675 16 60,40,1915,46.48704,7.69739,http://www.doldenhornhuette.ch
12,Konkordiahütte SAC,Gisela Sager & Andreas Mazenauer,+41338551394,159,2850,46.500462,8.053198,http://www.konkordiahuette.ch
13,Leglerhütte SAC,Landolt Simone,+4155 640 81 77,66,2273,46.92754,9.07990,http://www.leglerhuette.ch
14,Mutthornhütte SAC,Stefanie Künzi,+41338531344,60,2788,46.486554,7.829508,http://www.mutthornhuette.ch
15,Oberaarjochhütte SAC,Corsin Flepp,+41 33 973 13 82,30,3258,46.526,8.173,http://www.oberaarjochhuette.ch
16,Terrihütte SAC,Verena Kuhle und Jochen Schirmann,+41 81 943 12 05,90,2170,46.634529,9.005067,http://www.terrihuette.ch
17,Geltenhütte SAC,Susanne Brand,+41337653220,85,2002,46.36,07.33,http://www.gelten.ch
18,Capanna del Forno CAS,Alena Placha und Beat Kühnis,+41818243182,63,2574,46.331498,9.709716,http://www.fornohuette.ch
19,Fründenhütte SAC,Stefanie Bieri,+41 33 675 14 33,58,2562,7.44,31.1,http://www.fruendenhuette.ch
20,Capanna Cristallina CAS,Emanuele Vellati,+41 91 869 23 30,108,2575,46.472528,8.526301,http://capannacristallina.casticino.ch
21,Badushütte,Alessandro Barbon / Olaf Stähli,+41325128384,18,2503,46.636553,8.668352,https://www.badushuette.ch
22,Cabane des Diablerets CAS,Céline Ballieux,+4124 492 21 02,32,2486,46.346472,7.214233,http://www.cabane-diablerets.ch
23,Bächlitalhütte SAC,Christina Roulet,+41339731114,70,2328,66.4688,15.9878,http://www.baechlital.ch
24,Hohganthütte,Markus Thommen und Ernst Strahm,+41 76 408 54 50,24,1805,46.78547,7.90609,http://www.sac-emmental.ch/hohganthuette/
25,Chamanna d'Es-cha CAS,Schwab Silvana & Nicola Passiun da Muntagna GMBH,+41 81 854 17 55,42,2594,46.611490,9.902741,https://www.es-cha.ch
26,Camona da Maighels CAS,Nora Honegger und Mauro Loretz,+41819491551,83,2310,46.62547,8.69007,http://www.maighelshuette.ch
27,Gaulihütte SAC,Katrin Bicker & Roger Bläuenstein,+41 33 971 31 66,65,2205,46.623745,8.216584,https://www.gaulihuette.ch
28,Trifthütte SAC,Stefan Sutter und Familie Naue,+41 33 975 12 28,62,2420,46.674023,8.371172,https://www.trifthuette.ch
29,NOT_FOUND,,,,,,,
30,Zwinglipasshütte,Egli Hans,+4171999 24 36,35,1999,47.23,09.37,http://www.sac-toggenburg.ch/clubhuette/
31,Dossenhütte SAC,David Zweifel,+41 33 971 44 94,45,2663,46.655219,8.169219,
32,Hundsteinhütte SAC,Moni Eberhard,+41717991581,42,1554,47.25512,9.42217,http://www.hundstein.ch
33,Chamonna Tuoi CAS,Denise Tinner,+41 81 862 23 22,72,2250,46.830744,10.132428,https://www.tuoi.ch/
34,Capanna Cadlimo CAS,"Tschümperlin Heinz, Stv. Schläpfer Christine",+41 91 869 18 33,53,2570,46.57173,8.69484,http://www.cadlimohuette.ch
35,NOT_FOUND,,,,,,,
36,Capanna Campo Tencia CAS,Valeria e Paco,+41 91 867 15 44,50,2140,69.9440,14.4470,http://www.campotencia.ch
