confidence,distance_m,signals,full_name,full_idx,full_lat,full_lon,full_phone,full_website,scraped_name,scraped_id,scraped_lat,scraped_lon,scraped_phone,scraped_website,action
low,0,same_web,Rifugio Cima d'Asta Ottone Brentari,1274,46.1703065,11.6043945,+39 0461 594100;+39 340 3262094,https://www.rifugio-cimadasta.it,"Cima d'Asta ""Ottone Brentari""",626,46.170309,11.604395,+39 04611637778,https://www.rifugio-cimadasta.it/,
low,1,same_web,Rifugio Boé,1168,46.514612,11.8232878,+39 0471 847303,https://www.rifugioboe.it/,Boé,608,46.514614,11.823281,+39 0471 1930340,https://www.rifugioboe.it/,
low,1,same_phone,"Rifugio Altissimo ""Damiano Chiesa""",1230,45.8103804,10.8903784,+39 0464 867130,,"Altissimo ""Damiano Chiesa""",625,45.810375,10.890379,+39 0464 867130,https://rifugioaltissimoda.wixsite.com/homepage,
low,2,same_web,Refuge de la Barmaz,2938,46.0614205,7.3860544,+41 79 869 70 17,https://www.cabanedelabarmaz.ch/,Cabane de la Barmaz,668,46.061406,7.386067,+41 79 847 11 18,https://www.cabanedelabarmaz.ch/,
low,2,same_web,Rifugio Silvio Dorigoni,3120,46.4606258,10.7519346,+39 0463 985107,https://www.rifugiodorigoni.it/,"Saènt ""Silvio Dorigoni""",646,46.460635,10.751911,+39 0463 896375,https://rifugiodorigoni.it/,
low,3,same_web,Magdeburger Hütte - Rif. Cremona alla Stua,1176,46.9735518,11.2841751,+39 338 2428278,https://rifugiocremona.com/,Magdeburger Hütte (Rif. Cremona alla Stua),733,46.973525,11.284193,+ 39 320 181 3900,https://rifugiocremona.com/,
low,3,same_web,Rifugio Tommaso Pedrotti,2663,46.1541551,10.8987399,+39 0461 948115,http://www.rifugiotosapedrotti.it/,"Tosa ""Tommaso Pedrotti""",636,46.154130,10.898766,+393493646251,https://rifugiotosapedrotti.it/,
low,4,same_web_domain,Cabane les Ecoulaies,3143,46.0635629,7.3797653,,https://www.lespyramides.ch/cabane,Cabane des Ecoulaies,726,46.063535,7.379731,+41 79 414 90 86,https://www.lespyramides.ch,
low,4,same_web,Cabane de Bertol CAS,110,46.0060198,7.5276735,+41 27 283 19 29,http://www.bertol.ch,Cabane Bertol CAS,681,46.00604,7.52772,+41 79 626 65 79,http://www.bertol.ch,
low,5,same_web,Solsteinhaus,993,47.3081205,11.2881934,+43 5232 81557,https://solsteinhaus.at/,Solstein-Haus,714,47.308092,11.288141,+436643336531,https://www.solsteinhaus.at,
low,5,same_phone,Keinprechthütte,353,47.2746236,13.6931161,+43 664 43 303 46,https://www.xn--keinprechthtte-qsb.at/,Keinprecht-Hütte,669,47.274638,13.693052,+43 664 43 303 46,https://www.keinprechthütte.at/,
low,8,same_web,Bosruckhütte,1833,47.6393589,14.3664025,,http://bosruckhuette.eu/,Bosruck-Hütte,596,47.639379,14.366294,07563666,https://www.bosruckhuette.eu,
low,9,same_phone,Sticklerhütte,2848,47.1484257,13.3780718,+43 6479 349,http://www.sticklerhuette.com,Stickler-Hütte,691,47.148372,13.378154,+436479349,https://www.sticklerhuette.at,
low,10,same_web,Adamekhütte,1445,47.4922581,13.5838145,,https://www.adamek.at/,Adamek-Hütte,491,47.492209,13.583920,+43 664 5473481,https://www.adamek.at,
low,11,same_name_stem,Heidelberger Hütte,2171,46.9097153,10.259611,+43 664 4253070,https://www.heidelbergerhuette.at/,Heidelberger Hütte,456,46.90976,10.25948,+43 5444 21021,https://www.heidelberger-huette.at,
low,12,same_name_stem,Turtmannhütte SAC,1499,46.1601325,7.6994842,+41 27 932 14 55,http://www.turtmannhuette.ch,Turtmannhütte SAC,530,46.160075,7.699618,+41 027 932 14 55,https://www.cas-prevotoise.ch/cabanes/turtmannhtte.php,
low,13,same_name_stem,Ischler Hütte,2513,47.6998869,13.7606426,,,Ischler Hütte,556,47.7000,13.76060,+43 3622 71148,https://www.alpenverein.at/salzkammergut/huetten/index.php,
low,13,same_name_stem,Hohenzollernhaus,259,46.9020017,10.6347837,,,Hohenzollernhaus,612,46.90201,10.63496,+436645311915,https://www.hohenzollernhaus.at,
low,14,same_name_stem,Rappenseehütte,1351,47.288978,10.2550687,+498322700155,https://www.rappenseehuette.de/,Rappenseehütte,707,47.288858,10.255029,+49 000000000,https://www.dav-kempten.de/huetten/rappenseehuette,
low,14,same_web,Rifugio Segantini,1559,46.2092377,10.7107991,+39 0465 507357,https://www.rifugiosegantini.com,"Val d'Amola ""Giovanni Segantini""",640,46.209112,10.710788,+39 3381571319,https://www.rifugiosegantini.com/,
low,16,same_name_stem,Sillianer Hütte,1887,46.7060787,12.4064967,,,Sillianer Hütte,466,46.705993,12.406326,+4915154265541,,
low,16,same_name_stem,Capanna Grossalp,294,46.316514,8.4712184,+41 91 754 16 80,http://www.capannagrossalp.ch,Capanna Grossalp,478,46.316398,8.471349,+41 79 541 82 26,https://www.utoelocarno.ch,
low,18,same_name_stem,Taubensteinhaus,1549,47.6607812,11.9255265,+4980267070;+4917656733223,https://www.alpenverein-muenchen-oberland.de/taubensteinhaus,Taubensteinhaus,507,47.66083,11.92530,+4980269269039,https://www.taubensteinhaus.de,
low,20,same_name_stem,Lienzer Hütte,99,46.9348077,12.7465478,,,Lienzer Hütte,684,46.934975,12.746468,+43 681 104 80988,https://www.lienzer-huette.at,
low,21,same_web_domain,Berg- und Skiheim,2787,47.4541952,12.260467,,https://www.alpenverein-regensburg.de/index.php/huetten/berg-und-skiheim-brixen-im-thale,Berg- und Skiheim Brixen im Thale,475,47.454383,12.260491,+43 5334 8542,https://www.alpenverein-regensburg.de/huetten/huetten-der-sektion/berg-und-skiheim-brixen-im-thale,
low,21,same_web_domain,Berg- und Skiheim,2787,47.4541952,12.260467,,https://www.alpenverein-regensburg.de/index.php/huetten/berg-und-skiheim-brixen-im-thale,Berg- und Skiheim Brixen im Thale - Ferienwohnung,538,47.454383,12.260491,+43 5334 8542,https://www.alpenverein-regensburg.de/huetten/huetten-der-sektion/berg-und-skiheim-ferienwohnung,
low,21,same_web,Capanna Alpe Arena,591,46.2325154,8.5146727,+42 0796212112,http://www.capanna-arena.ch,Capanna Arena,510,46.23269,8.51456,00000000000,https://www.capanna-arena.ch,
low,41,same_name_stem,Haldenseehaus,3299,47.4876564,10.5979855,+43 5675 8135,http://www.dav-hohenstaufen.de/haldenseehaus,Haldenseehaus,616,47.487397,10.598373,+43 5675 20733,https://www.dav-gp.de/huetten/haldenseehaus,
low,58,same_web_domain,Capanna Garzonera,600,46.4989817,8.6613904,,https://www.satritom.ch/capanne-sat-ritom/,Rifugio Garzonera,698,46.499504,8.661362,+41762145138,https://www.satritom.ch,
low,90,same_web,Gamskarkogelhütte,702,47.1610163,13.1584159,+43 664 9203679,http://www.gamskarkogelhuette.at/,Gamskarkogel-Hütte,555,47.161786,13.158782,+436764519850,http://www.gamskarkogelhuette.at,
low,284,same_web,Schmidt-Zabierow Hütte,1005,47.5506186,12.6463241,+43 6588 7284,http://www.schmidt-zabierow.at,von-Schmidt-Zabierow-Hütte,724,47.55,12.65,065887284,http://www.schmidt-zabierow.at,
low,317,same_name_stem,Mannheimer Hütte,2691,47.0656511,9.6936019,+43 664 190 0691,https://www.dav-mannheim.de/huetten/mannheimer-huette/,Mannheimer Hütte,654,47.066762,9.689749,00436641900691,https://www.mannheimerhuette.co.at,
low,343,same_web,Refuge du Lac,761,46.2798371,7.2144607,+41 27 346 14 28,https://www.refugederborence.ch/,Refuge du lac de Derborence,592,46.28,07.21,+ 41794494687,https://www.refugederborence.ch,
low,388,same_web,Müllerhütte - Rifugio Cima Libera,1177,46.9631513,11.1778146,,https://www.muellerhuette.eu/,Müllerhütte - Rif. Cima Libera,570,46.96,11.18,+43 699 18678965,http://www.muellerhuette.eu,
