confidence,distance_m,signals,donor_type,osm_name,osm_row,osm_lat,osm_lon,osm_phone,osm_website,donor_name,donor_row,donor_res_id,donor_lat,donor_lon,donor_phone,donor_website,action
low,5,same_web,merged,Badushütte SAC Manegg,3441,46.6365684,8.668408,,https://www.badushuette.ch/,Badushütte,5,21,46.636553,8.668352,+41325128384,https://www.badushuette.ch,
low,15,same_name_stem,merged,Neue Bonner Hütte,728,47.0370986,13.680086,,,Neue Bonner Hütte,2198,162,47.037222,13.68,+43 664 949 24 46,https://www.neue-bonner-huette.at,
low,17,same_name_stem,merged,Dossenhütte SAC,47,46.65519192237695,8.1694423660608,,http://www.dossenhuette.ch,Dossenhütte SAC,3926,31,46.655219,8.169219,+41 33 971 44 94,,
low,24,same_name_stem,merged,Ramozhütte,3487,46.7308787,9.6437495,+41 81 356 55 02,https://sac-arosa.ch/ramozhuette/,Ramozhütte SAC,92,246,46.73109,9.64372,081 356 55 02,https://www.sacarosa.ch,
low,44,same_web,merged,Obergestelenhütte,90,46.58632561567796,7.432283085879983,,http://www.sac-obergestelen.ch/,Ski- und Ferienhaus Obergestelen,3692,417,46.58672,7.43225,+41794803674,http://www.sac-obergestelen.ch,
low,295,same_web,merged,Vermigel Hütte,3587,46.5945695,8.6579875,+41 41 887 17 73,https://www.vermigelhuette.ch/,Vermigelhütte,124,318,46.59709,8.65678,041 887 17 73,http://www.vermigelhuette.ch,
low,577,same_name_stem,merged,Zwinglipasshütte,132,47.233154980957465,9.376071891410026,,http://www.sac-toggenburg.ch,Zwinglipasshütte,3046,30,47.23,09.37,+4171999 24 36,http://www.sac-toggenburg.ch/clubhuette/,
low,589,same_name_stem|same_web,merged,Chamanna Coaz CAS,25,46.383683888701334,9.83546036461633,,http://www.coaz.ch,Chamanna Coaz CAS,3666,386,46.38169,9.82834,+41818426278,https://www.coaz.ch,
low,737,same_name_stem|same_web,merged,Sewenhütte SAC,108,46.74658712461951,8.52102376749891,,http://www.sewenhuette.ch,Sewenhütte SAC,810,269,46.74,08.52,+41 41 885 18 72,https://www.sewenhuette.ch/,
low,870,same_name_stem|same_phone|same_web,scraped,Cabane des Diablerets,282,46.3386913,7.2154746,+41 24 492 21 02,https://www.cabane-diablerets.ch/,Cabane des Diablerets CAS,4122,22,46.346472,7.214233,+4124 492 21 02,http://www.cabane-diablerets.ch,
low,911,same_name_stem|same_phone|same_web,merged,Etzlihütte,747,46.7181822,8.720629,+41 41 820 22 88,https://etzlihuette.ch/,Etzlihütte SAC,49,398,46.71,08.72,+41418202288,https://www.etzlihuette.ch,
low,1016,same_name_stem,merged,Capanna Adula UTOE,488,46.4953103,9.0076299,+41 77 459 96 11,https://www.adula-utoe.ch/,Capanna Adula CAS,310,42,46.499200,8.995615,+41918721532,http://www.capannaadula.ch,
low,1061,same_name_stem|same_phone,merged,Fergenhütte,3630,46.868973,9.9647615,+41 79 848 08 25,https://www.sac-praettigau.ch/,Fergenhütte SAC,50,241,46.86,9.96,+41798480825,https://www.fergenhuette.ch,
low,1092,same_web,scraped,Traunsteiner Hütte,2384,47.6590394,12.5856964,+49 8640 8140,https://www.traunsteinerhuette-winklmoos.de/,Traunsteiner Skihütte/ Winklmoosalm,4151,324,47.65,12.58,08640 8140,https://www.traunsteinerhuette-winklmoos.de,
low,1118,same_name_stem|same_phone,merged,Capanna di Sciora,3868,46.3125019,9.6111175,+41 81 822 11 38,https://sac-hoherrohn.ch/content/capanna-di-sciora/,Capanna di Sciora CAS,21,7,46.30312,9.61635,+41 81 822 11 38,http://www.capannasciora.ch,
low,1201,same_web,scraped,Glungezerhütte,2387,47.2097493,11.5268465,+43 5223 78018,https://www.glungezer-huette.at/,Glungezer-Hütte,4125,62,47.20,11.52,+43 6645311070,https://www.glungezer-huette.at,
low,1274,same_phone|same_web,merged,Cabane de Gelten SAC,3121,46.3695986,7.3390598,+41 33 765 32 20,https://www.gelten.ch/,Geltenhütte SAC,57,17,46.36,07.33,+41337653220,http://www.gelten.ch,
low,1414,same_name_stem|same_web,merged,Gspaltenhornhütte SAC,65,46.51271951060712,7.810156785696538,,http://www.gspaltenhornhuette.ch,Gspaltenhornhütte SAC,321,44,46.5,7.81,+41336761629,https://www.gspaltenhornhuette.ch,
